name,start_time,duration,"data","error"
"Async Serial",0.34522478,0.00098958,"0",
"Async Serial",0.34622884,0.00098958,"y","framing"
"Async Serial",0.34724992,0.00098958,"q","framing"
"Async Serial",0.3482625,0.00098958,"%",
"Async Serial",0.34925804,0.00098958,"L","framing"
"Async Serial",0.35027914,0.00098958,"\","framing"
"Async Serial",0.35130022,0.00098958,",","framing"
"Async Serial",0.35231278,0.00098958,".",
"Async Serial",0.35330834,0.00098958,"0",
"Async Serial",0.3543124,0.00098958,"Q","framing"
"Async Serial",0.3553335,0.00098958,"Q","framing"
"Async Serial",0.35634606,0.00098958,"4","framing"
"Async Serial",0.35737566,0.00098958,"ù","framing"
"Async Serial",0.35838824,0.00098958,"%",
"Async Serial",0.35938378,0.00098958,"","framing"
"Async Serial",0.36038786,0.00098958,".","framing"
"Async Serial",0.36139192,0.00098958,"p",
"Async Serial",0.36239598,0.00098958,"Ù","framing"
"Async Serial",0.36340856,0.00098958,"¤","framing"
"Async Serial",0.36443816,0.00098958,"Ù","framing"
"Async Serial",0.36545924,0.00098958,"q","framing"
"Async Serial",0.36647182,0.00098958,"7",
"Async Serial",0.41201108,0.00098958,"0",
"Async Serial",0.41301514,0.00098958,"y","framing"
"Async Serial",0.41403622,0.00098958,"q",
"Async Serial",0.4150488,0.00098958,".","framing"
"Async Serial",0.41606988,0.00098958,"%","framing"
"Async Serial",0.41709948,0.00098958,"É","framing"
"Async Serial",0.41812056,0.00098958,"Ñ","framing"
"Async Serial",0.41914164,0.00098958,"ý",
"Async Serial",0.51404392,0.00098958,"0",
"Async Serial",0.515048,0.00098958,"ù","framing"
"Async Serial",0.51606908,0.00098958,"A","framing"
"Async Serial",0.51708164,0.00098958,"¯",
"Async Serial",0.5180772,0.00098958,".","framing"
"Async Serial",0.51909828,0.00098958,"M","framing"
"Async Serial",0.52011938,0.00098958,"<","framing"
"Async Serial",0.52114046,0.00098958,"ÿ",
"Async Serial",0.61608102,0.00098958,"0",
"Async Serial",0.6170851,0.00098958,"ù","framing"
"Async Serial",0.61809766,0.00098958,"­","framing"
"Async Serial",0.61911876,0.00098958,"$",
"Async Serial",0.6201143,0.00098958,"}","framing"
"Async Serial",0.62111838,0.00098958,"Ö","framing"
"Async Serial",0.62212244,0.00098958,"(",
"Async Serial",0.6231265,0.00098958,"ý",
"Async Serial",0.81821944,0.00098958,"0",
"Async Serial",0.8192235,0.00098958,"y","framing"
"Async Serial",0.82024458,0.00098958,"q","framing"
"Async Serial",0.82125716,0.00098958,"%",
"Async Serial",0.8222527,0.00098958,"L","framing"
"Async Serial",0.8232738,0.00098958,"\","framing"
"Async Serial",0.82429488,0.00098958,",","framing"
"Async Serial",0.82530746,0.00098958,"ü",
"Async Serial",0.92025016,0.00098958,"0",
"Async Serial",0.92125422,0.00098958,"y","framing"
"Async Serial",0.9222753,0.00098958,"q","framing"
"Async Serial",0.92328788,0.00098958,"%",
"Async Serial",0.92428342,0.00098958,"L","framing"
"Async Serial",0.92530452,0.00098958,"\","framing"
"Async Serial",0.9263256,0.00098958,",","framing"
"Async Serial",0.92733818,0.00098958,"ü",
"Async Serial",0.93218726,0.00098958,"0",
"Async Serial",0.93319132,0.00098958,"y","framing"
"Async Serial",0.9342124,0.00098958,"q","framing"
"Async Serial",0.93522498,0.00098958,"%",
"Async Serial",0.93622054,0.00098958,"L","framing"
"Async Serial",0.93724162,0.00098958,"\","framing"
"Async Serial",0.9382627,0.00098958,",","framing"
"Async Serial",0.93927528,0.00098958,"ü",
"Async Serial",1.03422012,0.00098958,"0",
"Async Serial",1.03522418,0.00098958,"y","framing"
"Async Serial",1.03624526,0.00098958,"q","framing"
"Async Serial",1.03725784,0.00098958,"%",
"Async Serial",1.0382534,0.00098958,"L","framing"
"Async Serial",1.03927448,0.00098958,"\","framing"
"Async Serial",1.04029556,0.00098958,",","framing"
"Async Serial",1.04130814,0.00098958,".",
"Async Serial",1.0423037,0.00098958,"0",
"Async Serial",1.04330776,0.00098958,"Q","framing"
"Async Serial",1.04432884,0.00098958,"Q","framing"
"Async Serial",1.04534142,0.00098958,"4","framing"
"Async Serial",1.046371,0.00098958,"ù","framing"
"Async Serial",1.04738358,0.00098958,"%",
"Async Serial",1.04837914,0.00098958,"","framing"
"Async Serial",1.0493832,0.00098958,".","framing"
"Async Serial",1.05038726,0.00098958,"p",
"Async Serial",1.05139134,0.00098958,"Ù","framing"
"Async Serial",1.0524039,0.00098958,"¤","framing"
"Async Serial",1.0534335,0.00098958,"Ù","framing"
"Async Serial",1.05445458,0.00098958,"q","framing"
"Async Serial",1.05546716,0.00098958,"7",
"Async Serial",1.10100644,0.00098958,"0",
"Async Serial",1.1020105,0.00098958,"y","framing"
"Async Serial",1.10303158,0.00098958,"q",
"Async Serial",1.10404416,0.00098958,".","framing"
"Async Serial",1.10506524,0.00098958,"%","framing"
"Async Serial",1.10609484,0.00098958,"É","framing"
"Async Serial",1.10711592,0.00098958,"Ñ","framing"
"Async Serial",1.108137,0.00098958,"ý",
"Async Serial",1.2030393,0.00098958,"0",
